A;55.0;5.0;#fe360e
A1;55.0;15.0;#fe360e
A2;55.0;15.0;#fe360e
A3;55.0;15.0;#fe360e
A4;55.0;15.0;#fe360e
A5;55.0;15.0;#fe360e
A35;55.0;15.0;#fe360e
B;55.0;5.0;#537cb9
B2;55.0;15.0;#537cb9
B3;55.0;15.0;#537cb9
B4;55.0;15.0;#537cb9
B5;55.0;15.0;#537cb9
C;55.0;15.0;#e8ce0f
C1;55.0;15.0;#e8ce0f
C2;55.0;15.0;#e8ce0f
C4;55.0;15.0;#e8ce0f
C5;55.0;15.0;#e8ce0f
C7;55.0;15.0;#e8ce0f
C57;55.0;15.0;#e8ce0f
C6;55.0;15.0;#e8ce0f
C8;55.0;15.0;#e8ce0f
C46;55.0;15.0;#e8ce0f
C468;55.0;15.0;#e8ce0f
D;55.0;15.0;#17964c
D1;55.0;15.0;#17964c
D2;55.0;15.0;#17964c
D4;55.0;15.0;#17964c
D6;55.0;15.0;#17964c
E;55.0;15.0;#c75fad
E1;55.0;15.0;#c75fad
E2;55.0;15.0;#c75fad
E4;55.0;15.0;#c75fad
M1;35.0;5.0;#808080
M10;35.0;5.0;#dcaf38
M11;35.0;5.0;#808080
M12;35.0;5.0;#808080
M13;35.0;5.0;#808080
M14;40.0;5.0;#808080
M2;35.0;5.0;#808080
M3;35.0;5.0;#808080
M3 bis;35.0;5.0;#808080
M4;35.0;5.0;#808080
M5;35.0;5.0;#808080
M6;35.0;5.0;#808080
M7;35.0;5.0;#808080
M7 bis;35.0;5.0;#808080
M8;35.0;5.0;#808080
M9;35.0;5.0;#808080
T1;18.0;10.0;#808080
T2;18.0;10.0;#808080
T3;18.0;10.0;#808080
P;3.0;0.0;#000000
